CONSTITUENT_ID,AGE,GENDER,CITY,STATE,COUNTRY,ZIPCODE,EMAIL,PHONE,MARRIED,CONSTITUENT_ID,No of Events Attended,CONSTITUENT_ID,Total Amount donated,Donated (yes/no)
1108355,76,Male,Richfield,Minnesota,USA,55423,1,1,0,NULL,0,NULL,0,0
1112383,64,Female,Eastport,Maine,USA,4631,0,1,1,NULL,0,NULL,0,0
1112386,57,Female,Maryville,Tennessee,USA,37803,1,1,1,NULL,0,NULL,0,0
1112521,57,Female,Champaign,Illinois,USA,61821,1,1,0,NULL,0,NULL,0,0
1112525,65,Male,Shoreline,Washington,USA,98155,0,1,0,NULL,0,NULL,0,0
1112632,60,Female,Minneapolis,Minnesota,USA,55410,0,1,0,NULL,0,NULL,0,0
1112775,57,Female,Tinley Park,Illinois,USA,60477,1,1,0,NULL,0,NULL,0,0
1112992,63,Female,Creve Coeur,Missouri,USA,63141,0,1,0,NULL,0,NULL,0,0
1113000,65,Female,Chicago,Illinois,USA,60611,0,0,0,NULL,0,NULL,0,0
1113033,57,Female,Centennial,Colorado,USA,80016,1,1,0,NULL,0,NULL,0,0
111307,29,Female,Plymouth,Michigan,USA,48170,1,1,0,NULL,0,NULL,0,0
111309,29,Female,Thawville,Illinois,USA,60968,1,1,0,NULL,0,NULL,0,0
1113093,56,Female,Centennial,Colorado,USA,80121,0,1,0,NULL,0,NULL,0,0
1113167,53,Female,Deerfield,Illinois,USA,60015,1,1,1,NULL,0,1113167,25,1
1113583,0,Male,Berkeley,California,USA,94708,0,1,0,NULL,0,1113583,100,1
1114288,53,Female,Peoria,Illinois,USA,61615,1,1,1,NULL,0,1114288,40,1
111458,60,Female,Rockford,Illinois,USA,61103,1,1,0,NULL,0,NULL,0,0
1114610,73,Female,Saint Louis,Missouri,USA,63129,1,1,0,NULL,0,1114610,50,1
1114625,53,Female,Portland,Oregon,USA,97202,0,1,0,NULL,0,NULL,0,0
